frame_idx,timestamp,camera_id,class_name,confidence,x1,y1,x2,y2,box_area_px,track_id
95,9.397,18,Bottle,0.3534,2514,579,2549,673,3290,
96,9.497,18,Bottle,0.3194,2513,562,2557,682,5280,
96,9.497,18,Bottle,0.2931,1050,175,1071,215,840,
97,9.597,18,Bottle,0.2992,2513,563,2557,682,5236,
98,9.697,18,Bottle,0.3040,2512,561,2557,682,5445,
99,9.797,18,knife,0.4199,2127,722,2156,769,1363,83
99,9.797,18,Bottle,0.3390,2512,562,2557,682,5400,
100,9.897,18,Bottle,0.3451,2512,561,2557,682,5445,
101,9.997,18,Bottle,0.3391,2512,558,2557,681,5535,
102,10.097,18,knife,0.6785,2093,710,2121,746,1008,83
103,10.197,18,Bottle,0.3146,2511,556,2555,679,5412,
104,10.297,18,Bottle,0.2979,2511,555,2556,679,5580,
105,10.397,18,Bottle,0.2934,2511,554,2555,679,5500,
106,10.497,18,Bottle,0.2824,2512,552,2556,680,5632,
107,10.597,18,Bottle,0.3243,2512,556,2556,681,5500,
108,10.697,18,knife,0.6633,2066,601,2141,728,9525,83
108,10.697,18,Bottle,0.3050,2513,556,2556,681,5375,
109,10.797,18,knife,0.4702,2075,596,2131,710,6384,83
109,10.797,18,knife,0.3897,2063,683,2077,704,294,83
109,10.797,18,Cigarette,0.3197,2099,629,2105,635,36,83
109,10.797,18,Bottle,0.2955,2513,556,2556,681,5375,
110,10.897,18,knife,0.4885,2093,591,2125,715,3968,83
110,10.897,18,Bottle,0.3149,2512,590,2548,671,2916,
111,10.997,18,Bottle,0.4004,2512,586,2548,671,3060,
111,10.997,18,knife,0.2968,2097,588,2123,694,2756,83
112,11.097,18,knife,0.4352,2091,587,2122,699,3472,83
112,11.097,18,Bottle,0.3836,2512,586,2548,671,3060,
113,11.197,18,knife,0.4147,2093,586,2122,700,3306,83
113,11.197,18,Bottle,0.3601,2512,584,2548,671,3132,
114,11.297,18,knife,0.5541,2093,584,2126,699,3795,83
114,11.297,18,Bottle,0.3162,2512,585,2548,671,3096,
114,11.297,18,Cigarette,0.2669,1188,481,1213,515,850,
115,11.397,18,knife,0.7210,2088,584,2130,691,4494,83
115,11.397,18,Bottle,0.3417,2512,583,2548,671,3168,
116,11.497,18,knife,0.7437,2087,584,2131,689,4620,83
116,11.497,18,Bottle,0.3322,2512,583,2548,671,3168,
117,11.597,18,knife,0.7068,2090,585,2131,692,4387,83
117,11.597,18,Bottle,0.3519,2512,583,2548,671,3168,
118,11.697,18,knife,0.7487,2089,587,2135,692,4830,83
118,11.697,18,Cigarette,0.6965,1338,635,1373,674,1365,
118,11.697,18,Bottle,0.3322,2512,586,2548,671,3060,
119,11.797,18,knife,0.7052,2094,588,2135,697,4469,83
119,11.797,18,Bottle,0.3390,2512,588,2548,671,2988,
120,11.897,18,knife,0.7356,2098,590,2138,698,4320,83
120,11.897,18,Bottle,0.3240,2512,587,2548,672,3060,
120,11.897,18,Cigarette,0.2754,1506,719,1534,755,1008,
121,11.997,18,knife,0.7110,2102,593,2145,704,4773,83
121,11.997,18,Cigarette,0.4215,1262,512,1284,534,484,
121,11.997,18,Bottle,0.2583,2513,584,2549,673,3204,
122,12.097,18,knife,0.6507,2107,595,2150,707,4816,83
122,12.097,18,Cigarette,0.3082,1295,543,1319,567,576,
123,12.197,18,knife,0.6040,2106,594,2145,705,4329,83
123,12.197,18,Bottle,0.3050,2513,555,2556,682,5461,
124,12.297,18,knife,0.5958,2108,597,2142,706,3706,83
124,12.297,18,Bottle,0.2555,2513,587,2548,673,3010,
125,12.397,18,knife,0.5775,2108,598,2142,707,3706,83
126,12.497,18,Cigarette,0.6425,2232,1353,2319,1440,7569,
126,12.497,18,knife,0.5213,2108,600,2144,710,3960,83
127,12.597,18,knife,0.5550,2108,600,2142,708,3672,83
128,12.697,18,knife,0.4645,2105,602,2141,704,3672,83
128,12.697,18,Cigarette,0.2503,1482,865,1532,919,2700,
129,12.797,18,knife,0.4289,2109,603,2144,709,3710,83
129,12.797,18,Bottle,0.4181,2514,581,2548,671,3060,
129,12.797,18,Bottle,0.2568,2512,523,2556,678,6820,
130,12.897,18,Bottle,0.5045,2075,703,2089,740,518,83
130,12.897,18,Bottle,0.3621,2513,580,2549,672,3312,
130,12.897,18,knife,0.3227,2101,602,2142,715,4633,83
131,12.997,18,Bottle,0.3610,2510,534,2556,678,6624,
131,12.997,18,Bottle,0.3101,2515,581,2549,673,3128,
132,13.097,18,Bottle,0.3538,2510,554,2557,682,6016,
133,13.197,18,Bottle,0.2558,2510,546,2555,675,5805,
134,13.297,18,Bottle,0.3369,2510,524,2554,674,6600,
135,13.397,18,Bottle,0.3025,2510,529,2554,673,6336,
136,13.497,18,Bottle,0.3542,2510,530,2554,673,6292,
137,13.597,18,Bottle,0.3546,2510,529,2554,673,6336,
140,13.897,18,Cigarette,0.2640,1149,422,1171,445,506,
141,13.997,18,Bottle,0.2645,2513,605,2547,670,2210,
142,14.097,18,Cigarette,0.2875,1144,462,1172,493,868,
143,14.197,18,Bottle,0.2611,2513,602,2547,671,2346,
145,14.397,18,knife,0.3909,2098,606,2141,712,4558,206
145,14.397,18,Bottle,0.2782,2513,612,2546,670,1914,
147,14.597,18,knife,0.2610,2105,602,2144,720,4602,206
148,14.697,18,Cigarette,0.6361,1071,608,1104,643,1155,
148,14.697,18,knife,0.2815,2099,601,2141,721,5040,221
149,14.797,18,Cigarette,0.7664,1101,651,1132,681,930,
149,14.797,18,Cigarette,0.7649,1506,613,1534,653,1120,
149,14.797,18,Cigarette,0.4433,1122,589,1145,614,575,
149,14.797,18,knife,0.2963,2100,602,2140,721,4760,221
150,14.897,18,Cigarette,0.7684,1125,691,1170,731,1800,
150,14.897,18,knife,0.4466,2096,602,2138,715,4746,221
151,14.997,18,Cigarette,0.5653,1169,745,1221,798,2756,
151,14.997,18,knife,0.4809,2108,600,2142,707,3638,221
151,14.997,18,Bottle,0.3633,2513,605,2548,672,2345,
152,15.097,18,Cigarette,0.6530,1209,799,1285,910,8436,
152,15.097,18,knife,0.5954,2107,599,2141,707,3672,221
152,15.097,18,Bottle,0.3003,2511,559,2555,680,5324,
152,15.097,18,Cigarette,0.2634,1211,806,1269,862,3248,
153,15.197,18,Cigarette,0.6591,1256,873,1336,969,7680,
153,15.197,18,knife,0.6409,2108,597,2144,707,3960,221
153,15.197,18,Bottle,0.2721,2512,558,2556,680,5368,
154,15.297,18,Cigarette,0.6430,1621,975,1651,999,720,
154,15.297,18,knife,0.6230,2104,595,2142,705,4180,221
154,15.297,18,Cigarette,0.4722,1126,404,1150,426,528,
154,15.297,18,Bottle,0.4001,2511,558,2556,681,5535,
154,15.297,18,Cigarette,0.2667,1122,402,1143,422,420,
155,15.397,18,knife,0.6251,2094,591,2138,710,5236,221
155,15.397,18,Bottle,0.3236,2064,645,2080,683,608,221
155,15.397,18,Bottle,0.3098,898,113,916,164,918,
155,15.397,18,Bottle,0.2906,2510,557,2555,679,5490,
155,15.397,18,Bottle,0.2853,2070,644,2079,657,117,221
156,15.497,18,knife,0.5276,2095,592,2135,714,4880,
157,15.597,18,Bottle,0.8389,2074,631,2086,652,252,221
157,15.597,18,knife,0.6940,2090,590,2132,714,5208,221
158,15.697,18,knife,0.6625,2090,590,2131,711,4961,221
158,15.697,18,Bottle,0.6335,2076,627,2091,645,270,221
159,15.797,18,knife,0.7220,2085,587,2129,708,5324,221
160,15.897,18,knife,0.7124,2082,586,2128,709,5658,221
160,15.897,18,Cigarette,0.4037,928,306,942,321,210,
161,15.997,18,knife,0.5899,2080,586,2119,700,4446,221
161,15.997,18,Cigarette,0.4931,938,314,953,331,255,
161,15.997,18,Cigarette,0.4763,2076,619,2081,622,15,221
161,15.997,18,Bottle,0.2708,2510,597,2545,672,2625,
162,16.097,18,knife,0.6537,2081,586,2122,707,4961,221
162,16.097,18,Cigarette,0.4639,948,326,962,341,210,
163,16.197,18,Cigarette,0.5517,956,337,971,351,210,
163,16.197,18,Cigarette,0.4955,2072,617,2077,620,15,221
